size,bedrooms,bathrooms,age,garage,neighborhood,school_rating,price
2713,2,2,25,3,West,7,945606
2080,1,1,48,1,West,9,623104
3548,5,1,21,0,West,4,1309525
3533,2,3,6,2,Central,9,1248474
3103,1,1,99,2,North,9,834943
2683,4,3,32,1,North,4,1035531
3905,1,1,42,3,Central,6,1204355
3156,5,2,15,0,East,1,1234921
1352,2,3,29,2,Central,6,548888
4129,2,2,57,1,North,4,1292061
3539,2,1,27,3,North,1,1168608
1748,3,1,2,1,Central,4,708444
1063,1,2,45,1,Central,4,347216
4862,3,1,6,0,Central,6,1622013
2155,4,3,29,0,South,10,880918
4195,4,2,0,2,South,8,1538889
2370,1,3,88,2,East,10,694688
3556,2,1,72,3,South,1,1092672
2573,2,1,90,0,Central,10,716117
1418,3,2,42,2,East,1,566909
4632,3,1,63,3,East,8,1470364
3891,5,3,11,1,Central,7,1486005
2143,4,2,8,0,South,10,883634
3843,2,3,95,0,South,9,1157735
2765,4,2,91,3,East,4,939822
2710,2,1,88,3,East,5,789872
2966,4,1,56,2,South,6,1022541
4984,3,1,24,2,Central,5,1650305
4106,4,2,49,3,East,7,1416860
3856,4,3,63,2,East,9,1338843
2879,2,1,70,1,North,5,859038
3113,3,3,6,0,South,3,1153224
2687,3,3,49,3,South,7,983179
3651,2,1,4,2,South,8,1231646
2926,4,2,46,1,West,9,1058369
1728,3,2,46,1,Central,2,656299
2263,1,2,37,1,East,8,717459
1432,3,1,46,0,North,1,523294
3057,5,3,97,3,North,2,1095390
3019,1,1,90,2,Central,7,827864
2508,5,2,87,1,South,4,894631
1496,2,3,53,2,East,5,550478
1794,5,3,17,3,South,9,875835
2850,3,3,44,0,Central,6,1006626
1924,1,2,43,0,North,1,610946
3837,5,3,15,0,East,9,1460519
2818,1,2,62,1,South,9,848215
3795,2,2,75,2,South,1,1166708
2761,1,3,57,3,Central,10,885928
1273,1,1,55,0,East,8,344099
2479,4,1,14,2,North,7,967637
3154,2,3,21,3,West,9,1121384
4351,1,3,29,1,Central,2,1394637
3385,4,1,70,1,South,2,1125372
2331,4,2,62,1,Central,2,840462
1015,2,1,62,1,Central,1,318743
1430,2,1,14,1,North,6,531543
3463,2,1,93,1,Central,8,999503
1834,2,3,16,1,West,3,726111
3259,4,3,78,1,East,5,1128330
2607,5,2,33,1,Central,6,1037887
4983,5,2,68,2,North,5,1697970
3615,2,2,91,2,Central,7,1078895
1853,1,3,39,0,South,6,611271
4867,4,1,97,3,Central,2,1530945
1649,1,3,45,0,East,9,535481
4067,4,2,0,1,North,8,1484200
3034,2,3,46,1,South,10,1017562
3984,4,1,54,1,Central,7,1324510
1419,4,1,31,2,Central,8,609221
3621,3,2,5,1,Central,5,1292966
3566,3,1,95,1,Central,2,1065961
4524,4,2,97,1,North,8,1427460
2473,1,2,54,2,Central,1,754289
3364,1,3,84,1,Central,4,987698
4759,5,3,82,2,East,10,1621959
1409,2,3,53,0,South,3,504586
1571,4,2,23,3,North,1,707617
2927,2,2,58,0,North,9,917651
2287,4,1,50,2,South,1,829560
1708,5,3,3,0,Central,1,849060
1301,5,3,81,1,East,6,580936
2092,4,3,61,3,South,1,823463
3086,2,2,42,3,North,4,1038172
2441,3,3,46,0,Central,8,881015
1179,5,2,75,1,Central,2,530244
1708,3,3,99,3,West,10,589224
3179,5,3,44,1,East,9,1216584
3945,2,1,80,3,South,3,1183899
3501,4,2,58,1,South,3,1213341
4403,5,3,71,3,North,5,1541175
1909,2,2,92,1,North,5,556970
1534,1,3,42,0,Central,10,515121
3021,1,1,43,3,South,3,935527
1439,2,3,58,0,East,5,514723
3626,2,1,33,2,North,8,1177537
3525,4,3,1,3,West,7,1370732
4575,3,2,84,1,East,6,1417686
4905,3,2,96,3,East,2,1529236
2088,2,1,46,0,South,2,659607
3221,5,2,46,0,West,9,1179935
1739,3,1,63,3,North,9,603501
1154,2,2,50,1,North,4,419262
1608,5,1,0,1,Central,10,776799
1495,3,1,81,2,South,1,495436
3171,1,1,88,0,East,10,859005
2134,2,1,91,1,Central,9,594548
3364,1,3,27,2,East,3,1114435
4195,3,3,9,1,South,5,1488161
4810,4,1,97,1,North,10,1496146
1086,2,2,26,2,Central,3,463620
2149,1,1,32,0,East,6,666799
2254,2,1,77,0,East,1,646032
3051,5,2,36,1,Central,5,1164964
2285,4,3,18,1,East,10,958196
4180,2,1,62,2,East,10,1288256
1802,5,1,96,1,South,10,646465
2695,3,1,78,1,Central,10,834696
3133,1,1,25,1,East,9,975248
3943,2,1,2,1,Central,5,1327771
1000,3,2,86,3,East,10,365887
1342,2,2,88,1,North,7,401332
1318,5,2,82,2,South,10,566205
2120,5,2,27,0,West,1,896704
3167,4,3,24,2,East,4,1213357
1573,4,2,98,0,North,7,533639
4530,5,2,20,3,South,2,1659838
3626,2,1,28,1,North,7,1175628
2723,4,1,41,3,West,7,996014
4349,4,3,8,3,South,7,1606604
2545,4,1,51,3,Central,3,921007
3975,2,1,29,1,West,9,1280088
3807,1,3,82,0,North,6,1116499
3527,5,2,97,0,East,10,1171843
4626,2,1,16,0,West,4,1489486
2953,4,3,81,0,North,5,1021375
4938,1,3,52,0,West,2,1518077
4722,4,2,51,2,West,3,1589617
1907,2,2,5,3,North,4,761066
4601,1,2,93,1,West,6,1307264
1832,2,2,73,0,East,6,563788
2006,4,2,21,1,Central,8,836944
1245,2,2,38,0,Central,10,461964
2298,4,3,28,2,Central,5,947883
3575,4,3,3,3,Central,9,1390652
3580,1,2,33,0,East,9,1119033
1149,4,2,76,2,East,10,463332
3897,3,3,60,0,South,2,1289661
4156,1,3,11,0,South,8,1357206
4287,2,3,82,3,North,8,1341073
2613,1,2,54,0,North,10,782595
1518,4,2,99,1,North,10,524187
4327,4,2,22,0,South,1,1514023
1719,1,3,66,0,South,3,517634
2831,5,3,93,1,East,3,1007767
2635,2,1,79,1,North,8,774461
2508,1,3,65,2,South,5,789190
2821,3,1,75,2,South,5,893515
3903,4,2,84,2,North,2,1287963
2154,3,2,30,1,East,6,799622
3606,3,1,90,3,West,6,1102180
1116,3,3,81,1,South,1,413031
4051,4,1,94,1,Central,9,1273355
2142,4,2,20,0,East,4,854173
2125,1,1,60,0,North,1,605351
4229,5,2,33,1,Central,2,1530020
1417,2,1,31,1,Central,10,504453
3939,2,1,77,2,Central,8,1169278
1833,3,1,56,0,Central,1,617564
1389,2,1,80,3,South,3,408636
2953,1,2,0,1,Central,3,999827
3072,1,3,22,1,South,3,1032427
3215,5,2,40,3,North,7,1222895
2757,2,1,85,3,West,3,810306
2813,4,1,2,2,East,4,1086184
2499,4,1,90,3,Central,1,833201
3913,5,2,94,2,Central,1,1307316
3912,3,3,67,1,East,1,1291068
1997,3,1,7,2,East,5,784647
3134,5,2,5,3,East,8,1268730
4801,5,2,64,3,East,8,1649139
1576,3,3,18,0,Central,1,676147
3889,3,2,55,2,West,2,1294664
1115,3,3,33,0,North,5,500288
3023,4,2,86,1,Central,9,1005139
4333,3,3,33,1,West,6,1474987
4344,4,2,75,1,East,5,1429402
3143,1,2,64,0,North,3,920834
4689,5,1,71,3,South,4,1568005
4119,3,3,37,0,Central,9,1394745
3383,2,3,19,0,Central,2,1167983
1401,2,2,86,2,East,9,431195
3232,2,3,63,0,West,5,1027226
3614,2,1,55,2,Central,1,1115577
3940,4,3,56,1,West,8,1375355
1053,1,3,71,0,West,7,321817
1075,1,1,41,3,Central,5,341027
4598,2,3,38,1,South,6,1503970
1461,2,1,54,0,Central,4,460534
1663,4,3,15,1,East,2,768583
3752,4,3,4,1,North,8,1409321
1758,1,3,48,1,Central,6,587545
4620,3,1,95,2,North,2,1398058
4816,1,2,8,2,West,3,1557449
3025,4,2,35,1,South,10,1117215
2309,3,2,45,3,North,4,851189
4148,2,3,25,0,North,7,1390949
3915,3,1,17,2,North,3,1344419
4722,2,3,69,1,West,2,1483255
4011,2,3,83,2,Central,2,1254299
1657,1,2,85,0,West,5,430034
3987,5,2,63,1,North,4,1387350
1287,5,2,16,2,East,5,676609
2159,1,3,37,0,Central,8,723029
3886,1,1,34,0,East,3,1182213
1564,2,3,56,1,East,8,563230
3508,1,1,14,0,Central,10,1103134
4210,4,2,45,2,South,1,1458666
4734,1,2,27,3,North,1,1508699
4676,1,2,11,1,South,6,1507200
1752,1,3,93,2,North,1,494203
3742,2,1,97,2,East,3,1075721
1713,1,3,15,1,South,4,637978
4481,3,1,99,2,West,2,1339536
2357,3,3,19,3,North,3,944201
4568,5,1,52,2,South,10,1567448
4458,3,1,93,2,West,1,1357291
1116,2,1,23,0,South,5,415099
2388,1,1,0,1,East,5,806526
1449,3,2,82,3,Central,7,519950
2396,5,3,95,3,East,5,904215
4334,4,2,68,3,North,2,1447896
3884,5,1,75,3,East,1,1329344
2505,3,1,78,1,East,1,791452
2992,3,1,22,0,North,3,1029639
1961,3,1,16,0,South,8,731405
2166,1,3,11,3,North,7,803101
2592,2,2,94,1,Central,2,760785
2278,5,2,42,2,West,1,924678
3066,2,3,49,0,South,10,1009766
3942,5,3,10,1,South,6,1518392
1621,1,3,59,2,Central,1,525855
1400,5,1,97,0,North,4,496556
3116,4,1,3,3,North,4,1184820
1384,5,2,16,0,East,4,685676
1307,1,2,83,2,Central,10,358523
2514,4,1,88,1,Central,1,820914
4602,3,3,94,1,North,8,1440163
4636,5,1,87,1,West,9,1503640
1218,2,1,4,1,East,7,496313
1706,4,1,18,1,South,3,713325
3675,3,1,72,3,South,4,1159748
1058,5,3,82,3,North,3,521369
4674,3,3,54,3,Central,9,1571929
1960,4,2,5,1,East,10,853760
1025,1,3,57,2,North,9,351689
2842,1,2,19,2,South,4,951601
1536,3,3,33,0,West,3,630044
2527,2,2,22,0,North,4,872977
1240,5,2,5,1,North,9,688043
1022,1,2,39,0,South,7,346482
2866,4,1,15,3,East,10,1096908
3110,5,1,55,1,East,10,1120881
3502,2,1,39,3,South,5,1139920
1645,4,3,32,2,East,5,748823
1616,2,3,50,1,North,10,586496
1517,4,2,5,1,South,5,711947
2356,3,2,2,1,North,10,929458
2434,4,2,79,2,West,4,846287
2025,3,2,79,2,South,9,675923
2741,1,2,32,1,South,2,877320
1548,5,2,8,3,North,2,785519
1026,1,3,28,1,South,1,397719
1311,5,1,62,3,South,6,569708
2602,2,1,85,0,Central,9,733379
3402,3,3,8,3,West,8,1275226
3994,3,2,60,2,West,8,1299291
3666,5,3,78,0,North,6,1293320
3242,4,2,23,1,East,5,1195590
1494,3,2,19,0,West,2,617242
2767,5,3,59,3,East,2,1090220
4674,1,1,48,3,East,2,1418736
4198,4,1,18,2,East,7,1464599
3720,5,1,89,1,Central,10,1229231
2605,2,2,77,3,West,6,826485
3185,3,1,36,1,Central,1,1083381
1080,4,3,98,3,Central,5,442788
4404,3,2,0,3,Central,2,1560133
4716,3,2,61,0,North,3,1495797
3653,1,2,25,3,North,3,1183087
4711,1,1,8,1,West,7,1478950
1824,4,2,2,1,South,3,812261
4038,4,3,71,3,South,6,1390030
1545,3,3,20,3,West,3,699302
4119,2,3,28,3,East,1,1409327
2653,3,2,39,3,East,6,962541
2208,1,2,47,1,South,7,689090
4964,2,1,53,3,North,5,1548111
4528,5,1,94,0,West,2,1445639
3908,1,1,30,2,North,7,1220318
3630,3,3,25,1,West,10,1293524
3735,2,2,32,2,West,10,1243313
1593,2,2,54,1,East,6,541801
4982,2,3,94,1,West,4,1508602
1966,1,2,74,0,North,1,551096
4036,1,3,75,0,East,6,1194172
3148,2,1,50,3,West,7,1013244
4242,4,2,73,2,West,1,1408548
4512,4,1,6,1,North,1,1577628
4153,2,2,74,3,West,5,1281817
4270,2,2,12,0,North,1,1426654
2459,5,1,24,3,Central,9,996179
1733,1,1,75,0,South,8,458675
4598,2,2,21,1,Central,7,1510182
2937,4,2,30,1,East,1,1081155
4904,3,3,59,0,North,7,1590826
3374,5,3,65,2,Central,6,1246971
2311,2,2,49,2,South,6,768656
1741,1,3,19,2,West,1,652840
1844,3,3,95,2,East,4,623955
4243,2,2,8,0,South,9,1419709
1280,4,2,92,0,West,4,450835
4839,5,2,26,2,West,8,1723785
1057,5,3,21,3,Central,1,652765
2665,5,3,45,2,North,3,1069058
1473,4,3,21,3,East,6,714946
1455,1,3,20,2,South,1,551019
2313,5,3,92,0,North,1,856781
3761,2,1,54,2,West,10,1170885
4261,5,3,72,1,South,5,1484205
3371,4,1,88,0,West,10,1067986
2451,3,3,18,0,East,5,945234
2139,5,2,50,0,North,2,854070
1511,2,1,25,0,West,7,531562
1590,5,2,30,3,West,2,753266
3401,1,1,25,2,West,10,1071056
4897,1,2,31,2,West,6,1547020
1660,4,3,9,3,North,8,801412
1892,4,1,68,1,North,2,664448
1371,4,3,37,3,Central,9,654294
2137,4,3,67,3,South,6,822666
2078,3,2,26,1,South,1,787464
1015,2,2,60,2,South,5,369228
1459,2,2,66,3,Central,8,501462
3768,3,1,18,1,East,2,1279209
4644,5,3,1,0,North,3,1722278
2173,5,3,49,1,South,7,912601
2228,2,3,80,0,South,9,697394
4397,3,1,31,3,West,8,1461209
1291,2,2,34,1,East,4,489324
3312,5,3,58,2,North,9,1238991
3786,4,3,55,3,East,1,1346401
3960,3,1,9,1,Central,4,1353905
1875,3,2,97,2,Central,2,601836
3863,5,2,76,0,Central,8,1324842
4640,5,2,82,3,East,1,1573742
3398,4,2,71,2,West,7,1156981
3214,3,3,54,3,Central,7,1120536
3686,3,2,41,1,West,10,1237729
3486,5,2,83,2,Central,2,1206088
1950,4,2,71,0,Central,5,707118
3286,1,1,3,3,Central,7,1083585
3249,5,3,48,0,West,5,1218904
4925,3,3,17,3,North,5,1709213
2504,4,2,31,3,North,8,971937
4064,5,1,47,3,North,10,1444695
1666,3,3,66,1,West,7,615629
3241,1,1,25,1,Central,5,1003319
4468,2,1,1,1,West,5,1468759
3304,4,2,9,3,North,9,1266493
4003,4,2,29,3,Central,2,1430046
1308,5,2,44,1,West,7,614443
2360,5,2,16,3,East,2,1018136
2851,5,2,67,2,East,5,1049755
4476,5,2,41,3,South,5,1599860
1710,1,3,35,3,South,9,617858
4816,3,2,13,3,East,1,1668210
2210,1,2,8,2,East,2,784848
1584,2,2,33,2,South,8,581040
3743,1,1,56,0,Central,7,1086508
3361,4,2,99,2,South,2,1086703
1896,1,1,33,0,East,3,586330
1566,5,3,29,3,North,10,786914
4548,3,3,9,2,South,8,1598200
4441,5,2,45,1,East,5,1558120
3107,3,2,21,1,South,2,1100403
4167,2,3,2,3,South,1,1472807
3428,2,2,79,1,North,3,1050117
1971,5,1,21,3,East,6,854273
4849,3,2,54,2,Central,3,1576752
4769,3,1,38,1,West,5,1549886
1366,4,3,99,0,East,1,492996
3579,5,3,22,2,Central,3,1381854
2339,2,2,13,0,Central,8,835297
2936,4,3,13,3,West,5,1177392
3102,4,2,32,3,Central,7,1150423
1102,3,1,74,2,East,5,392295
1023,2,1,98,1,West,9,246288
4149,2,1,64,1,South,10,1261627
1236,1,2,43,2,South,6,409342
3083,5,3,30,3,Central,1,1238462
3272,1,1,35,3,South,8,1012497
1124,4,1,99,3,South,7,402772
4841,1,2,34,3,North,5,1533809
3203,5,3,6,0,North,3,1285968
1075,4,3,86,3,Central,9,461925
2542,5,1,50,2,North,3,961563
1144,5,3,81,1,West,9,527495
4637,4,1,54,1,West,9,1521465
4884,5,3,1,2,North,4,1833076
3510,5,3,26,3,Central,3,1371846
2455,1,3,59,1,West,10,768970
3095,1,1,33,2,Central,5,968256
2031,5,2,2,0,West,1,915923
2038,4,1,45,3,Central,1,773316
4267,1,2,24,2,East,2,1352381
2101,1,3,84,2,South,8,629982
4811,4,1,2,1,Central,9,1687614
3699,5,1,8,1,South,2,1381407
3624,5,1,54,3,Central,2,1289941
2499,4,3,9,2,South,6,1032674
3932,3,2,84,3,East,2,1247634
3051,4,2,56,3,South,6,1101645
2111,3,1,82,0,East,5,656633
1165,5,2,51,1,South,2,577457
4506,4,3,95,1,Central,8,1453432
2711,5,1,52,3,Central,10,1013181
2590,4,3,32,0,East,2,1005652
2885,4,2,83,0,North,3,959971
4509,1,2,19,3,West,7,1462529
3354,3,2,88,2,West,1,1058897
3226,2,2,86,3,East,10,987588
2153,4,1,97,1,North,8,687716
3513,1,2,52,2,East,3,1081285
3189,2,3,49,2,East,10,1059105
1877,1,3,84,0,East,6,542945
1236,2,2,44,2,East,3,460254
4633,4,1,19,3,South,7,1616359
4080,1,1,11,3,West,4,1309016
1911,3,1,15,3,North,10,754986
3339,1,3,37,1,West,1,1068030
4443,1,3,73,1,West,9,1336097
1037,4,3,1,0,Central,10,605551
3828,3,3,7,2,Central,6,1385787
3628,2,1,23,3,West,4,1206302
2686,4,3,77,2,North,8,952355
4798,1,1,53,1,Central,4,1424283
3289,2,2,36,3,Central,5,1105987
2319,4,2,84,0,Central,6,777710
2876,2,1,0,1,East,8,994289
4462,3,1,70,3,East,4,1404894
3406,1,1,94,0,East,7,923004
2605,3,3,85,3,North,10,885125
3182,2,1,28,1,South,3,1044784
3628,2,3,41,2,North,3,1219786
2087,3,1,66,3,North,2,695719
2826,4,3,88,0,North,3,952512
4073,5,2,34,3,West,8,1493352
2623,1,3,50,0,North,9,823783
1961,3,2,98,0,North,3,611892
4212,3,1,60,1,South,9,1327381
3865,1,1,74,3,East,6,1128429
2681,3,2,86,1,East,5,855797
2882,5,1,54,3,East,2,1056652
3809,3,3,98,2,North,9,1205039
1688,1,1,19,2,South,7,567786
4992,4,3,12,3,South,8,1786227
4171,1,1,89,3,Central,3,1178642
1712,5,2,82,3,North,4,698258
2976,2,2,36,2,North,10,1004299
1998,2,2,56,3,West,1,683584
3534,3,2,52,2,West,9,1180216
4016,1,1,20,1,South,3,1258773
4464,4,3,4,2,East,2,1633065
4043,1,1,42,0,West,3,1206460
1972,2,3,16,2,West,8,777478
3570,4,3,50,3,West,9,1287217
2270,2,2,12,3,Central,5,854797
4503,4,1,76,2,West,10,1450108
3502,3,1,92,3,North,10,1081116
3151,5,2,85,3,West,9,1119562
1384,3,2,36,1,South,7,572290
4631,2,2,76,1,East,9,1401371
3417,1,3,36,1,East,9,1105553
4387,2,2,27,1,Central,2,1429626
3877,4,3,67,0,Central,1,1327925
4936,2,2,26,3,East,10,1627654
2024,3,1,69,3,West,4,677327
1934,5,3,5,1,West,3,915400
2986,3,3,71,1,Central,6,1001114
2181,1,1,19,0,East,6,693421
4820,1,2,93,3,East,9,1398811
1068,2,3,19,1,West,10,478546
3366,5,3,25,2,East,8,1325065
1946,4,1,37,2,Central,5,762103
3974,1,2,32,3,West,3,1272934
4542,3,3,0,0,Central,3,1598632
1402,3,3,77,1,West,7,508534
4372,3,1,11,0,East,4,1479534
3505,2,3,3,1,North,7,1251933
4757,4,2,31,0,North,3,1618265
4328,4,2,77,1,West,9,1419984
3897,1,2,42,2,Central,10,1208432
4923,4,1,44,1,West,7,1636052
4569,5,2,99,1,Central,4,1500789
2098,4,3,10,2,North,10,919650
4524,1,1,64,3,North,3,1332956
3981,2,3,76,2,East,8,1251550
4643,1,2,33,2,East,2,1459280
4629,2,1,65,0,East,1,1397470
1804,1,1,56,3,South,1,544179
3814,2,3,60,0,East,8,1217720
4877,5,2,76,3,Central,3,1656225
4031,2,3,50,2,West,7,1315603
4438,1,1,99,2,East,1,1230251
3643,5,1,63,0,East,6,1237213
3505,3,1,7,2,North,5,1246927
2152,1,3,84,2,South,7,636033
3386,3,1,85,1,East,6,1030997
2676,2,3,0,2,East,1,1013470
2658,4,3,90,0,North,8,908325
1074,3,3,76,0,Central,8,416022
3872,3,1,88,3,North,9,1197010
1281,4,1,35,2,South,9,570340
2464,3,3,82,3,South,6,835559
2320,1,3,1,1,North,5,839632
3452,1,1,57,0,East,7,996911
1342,1,3,30,3,North,4,511231
4205,5,3,3,2,South,9,1622508
2334,1,1,22,1,West,5,748926
1018,2,2,24,2,North,10,440673
3520,2,2,87,2,North,10,1064068
3561,5,3,26,0,Central,9,1351360
1680,4,2,44,0,North,10,677706
4494,4,2,75,1,West,7,1464503
2387,5,1,33,2,South,8,949725
2127,5,2,11,3,South,3,961311
2533,1,3,35,3,North,10,868615
3691,1,2,26,3,West,9,1187089
1406,2,3,45,0,South,3,520935
4340,2,1,26,1,Central,1,1394162
2992,5,3,60,0,Central,4,1117540
4764,1,3,57,2,North,5,1465729
4002,4,3,87,2,South,7,1330689
4737,4,2,11,0,East,5,1662619
2515,1,1,10,3,West,4,839784
3474,3,1,69,0,Central,9,1082078
4760,4,3,57,0,East,1,1594810
2755,5,2,28,0,South,3,1078907
4775,5,3,83,2,West,7,1634043
2631,4,1,43,0,West,6,934838
4386,5,2,47,1,North,3,1532337
2507,2,3,60,2,South,6,842574
3968,2,1,41,3,North,3,1261172
3625,4,2,84,1,Central,9,1185398
3851,1,1,18,3,West,9,1236161
2195,3,3,45,2,East,1,828306
3647,5,3,99,2,East,3,1265087
1981,5,3,20,0,South,6,902790
2860,5,3,31,3,North,7,1175331
1705,1,3,4,3,North,5,675122
3331,1,1,27,1,Central,4,1035384
4269,4,2,51,2,North,4,1454130
2051,4,1,54,1,South,8,746087
4078,1,1,41,1,South,8,1239423
3097,5,3,89,2,North,9,1105711
1106,4,3,73,0,South,1,473212
1360,3,2,34,2,East,1,564771
2500,5,1,67,1,East,6,896454
3513,2,1,29,0,North,1,1132606
2325,1,2,19,0,North,1,763205
4473,3,2,11,0,Central,3,1525833
4044,3,1,82,3,East,4,1249302
4728,1,1,39,2,West,3,1440407
3119,4,3,80,3,South,8,1099463
2666,4,1,6,1,West,1,1033306
1033,2,2,17,0,West,4,439214
4236,4,3,42,1,West,9,1477102
3327,2,1,19,3,South,1,1127712
3259,5,1,63,2,Central,9,1155954
3221,3,1,80,2,East,9,1008877
3158,3,2,8,2,North,8,1164238
3238,5,3,13,3,South,7,1320083
1495,2,2,77,0,South,7,464122
1316,2,1,29,1,West,10,469365
3289,3,1,59,0,South,5,1046139
3225,3,2,41,3,South,9,1134446
4172,4,3,42,2,Central,3,1481586
1746,1,2,14,0,East,8,597704
3460,5,1,92,3,East,3,1169112
4826,4,2,72,1,East,8,1578834
1835,1,2,71,1,Central,5,524094
1549,1,2,31,3,Central,8,534932
3873,2,2,77,0,South,3,1168678
3965,3,1,21,0,South,1,1322478
3176,4,2,20,0,Central,9,1163909
3369,4,2,99,2,North,7,1101743
4872,2,3,46,3,East,3,1580856
1257,2,2,99,0,West,9,340156
4471,3,3,59,3,West,2,1501938
4292,2,1,48,1,East,7,1321753
2920,1,2,93,2,Central,9,813658
1171,1,3,19,3,South,8,475349
2939,4,2,16,2,West,7,1120711
2322,5,3,58,3,Central,4,947197
1658,2,1,48,3,West,10,553397
1630,5,1,26,0,South,5,726290
2722,4,3,93,0,East,2,913944
4617,3,2,85,1,North,6,1434516
2680,5,1,35,3,North,6,1039574
3906,2,1,13,3,East,7,1299466
1571,3,1,87,1,Central,6,486381
3720,3,1,78,0,South,9,1140856
2695,2,3,24,2,North,5,975871
2325,1,3,18,0,North,10,791931
3112,4,2,33,2,West,9,1149424
1585,4,2,51,0,East,5,640920
2026,1,3,39,3,East,1,699972
2067,5,1,10,0,North,10,880309
2577,2,3,12,3,North,4,975879
4474,2,3,36,0,Central,4,1457089
2457,1,2,62,3,Central,3,747767
3395,4,2,53,3,Central,1,1197965
4020,4,2,49,0,East,10,1358779
4136,1,3,56,0,Central,8,1273200
1224,2,2,23,3,West,10,514377
3205,5,3,21,1,Central,4,1264524
1148,1,1,63,2,North,2,326482
3107,5,1,60,3,East,4,1121355
3851,4,2,17,0,West,6,1385162
1799,3,1,2,3,East,2,745178
1668,5,2,53,3,North,10,738298
1258,2,3,54,3,West,8,485067
4273,3,3,83,3,East,8,1385827
4454,5,1,76,0,West,6,1455886
2050,4,2,26,1,North,10,842955
1573,4,2,88,2,North,5,580930
2675,3,3,83,2,North,10,897237
3284,2,3,85,2,East,5,1015721
3472,4,2,78,3,West,7,1169074
4530,1,3,24,3,Central,1,1480252
2876,5,3,1,3,East,6,1230178
1136,1,1,35,2,North,2,380365
2467,4,1,19,0,West,1,940052
3479,3,2,65,2,South,7,1138437
4494,1,3,48,3,West,10,1422984
3309,5,1,18,2,North,5,1254688
3130,1,2,24,3,Central,3,1022277
2483,4,3,83,1,Central,3,869906
4549,2,3,69,2,North,9,1438456
3535,1,1,36,1,South,8,1076011
3314,3,2,53,3,North,2,1138192
3372,1,1,6,0,South,6,1088240
3919,3,2,83,3,Central,7,1241819
